equipamento_id,periodo,condicao_ambiente,modo_operacao,score_base,fator_ambiente,fator_operacao,score_risco,classificacao,fator_principal,alerta
Caminhão do Marcelo,Abril 2026,-,-,42,1.0,1.0,42,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Marcelo: risco 42 - monitorar na próxima vistoria.
Caminhão do Cristiano 4,Abril 2026,-,-,50,1.0,1.0,50,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Cristiano 4: risco 50 - monitorar na próxima vistoria.
Caminhão da Talita 5,Abril 2026,-,-,26,1.0,1.0,26,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão da Talita 5: risco 26 - monitorar na próxima vistoria.
Caminhão da Gabriela 4,Abril 2026,-,-,41,1.0,1.0,41,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Gabriela 4: risco 41 - monitorar na próxima vistoria.
Caminhão da Eliana 3,Abril 2026,-,-,44,1.0,1.0,44,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão da Eliana 3: risco 44 - monitorar na próxima vistoria.
Caminhão do João 6,Abril 2026,-,-,29,1.0,1.0,29,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do João 6: risco 29 - monitorar na próxima vistoria.
Caminhão do Rodrigo 5,Abril 2026,-,-,25,1.0,1.0,25,BAIXO,Desaceleração/frenagem brusca,[OK] Caminhão do Rodrigo 5: risco 25 - dentro do esperado.
Caminhão do Tiago,Abril 2026,-,-,41,1.0,1.0,41,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Tiago: risco 41 - monitorar na próxima vistoria.
Caminhão da Karina,Abril 2026,-,-,51,1.0,1.0,51,ALTO,Estilo de condução,[ALERTA] Caminhão da Karina: risco 51 - agendar inspeção em breve.
Caminhão da Sabrina,Abril 2026,-,-,38,1.0,1.0,38,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Sabrina: risco 38 - monitorar na próxima vistoria.
Caminhão do Pablo 4,Abril 2026,-,-,47,1.0,1.0,47,MODERADO,Estilo de frenagem,[ATENÇÃO] Caminhão do Pablo 4: risco 47 - monitorar na próxima vistoria.
Caminhão da Giovana 5,Abril 2026,-,-,38,1.0,1.0,38,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão da Giovana 5: risco 38 - monitorar na próxima vistoria.
Caminhão da Érica 5,Abril 2026,-,-,34,1.0,1.0,34,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Érica 5: risco 34 - monitorar na próxima vistoria.
Caminhão do Gilberto 5,Abril 2026,-,-,62,1.0,1.0,62,ALTO,Estilo de condução,[ALERTA] Caminhão do Gilberto 5: risco 62 - agendar inspeção em breve.
Caminhão do Samuel 3,Abril 2026,-,-,49,1.0,1.0,49,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Samuel 3: risco 49 - monitorar na próxima vistoria.
Caminhão do Rafael 5,Abril 2026,-,-,58,1.0,1.0,58,ALTO,Estilo de condução,[ALERTA] Caminhão do Rafael 5: risco 58 - agendar inspeção em breve.
Caminhão da Heloísa 4,Abril 2026,-,-,36,1.0,1.0,36,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão da Heloísa 4: risco 36 - monitorar na próxima vistoria.
Caminhão do Jorge 4,Abril 2026,-,-,43,1.0,1.0,43,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Jorge 4: risco 43 - monitorar na próxima vistoria.
Caminhão do Benedito 2,Abril 2026,-,-,45,1.0,1.0,45,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Benedito 2: risco 45 - monitorar na próxima vistoria.
Caminhão da Sandra 5,Abril 2026,-,-,55,1.0,1.0,55,ALTO,Estilo de condução,[ALERTA] Caminhão da Sandra 5: risco 55 - agendar inspeção em breve.
Caminhão do Luiz 4,Abril 2026,-,-,33,1.0,1.0,33,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Luiz 4: risco 33 - monitorar na próxima vistoria.
Caminhão do Henrique,Abril 2026,-,-,33,1.0,1.0,33,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Henrique: risco 33 - monitorar na próxima vistoria.
Caminhão do Leonardo 4,Abril 2026,-,-,35,1.0,1.0,35,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Leonardo 4: risco 35 - monitorar na próxima vistoria.
Caminhão do Roberto 3,Abril 2026,-,-,39,1.0,1.0,39,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Roberto 3: risco 39 - monitorar na próxima vistoria.
Caminhão da Heloísa 5,Abril 2026,-,-,40,1.0,1.0,40,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Heloísa 5: risco 40 - monitorar na próxima vistoria.
Caminhão do Carlos,Abril 2026,-,-,49,1.0,1.0,49,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Carlos: risco 49 - monitorar na próxima vistoria.
Caminhão da Beatriz 2,Abril 2026,-,-,54,1.0,1.0,54,ALTO,Estilo de condução,[ALERTA] Caminhão da Beatriz 2: risco 54 - agendar inspeção em breve.
Caminhão do Caio,Abril 2026,-,-,36,1.0,1.0,36,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Caio: risco 36 - monitorar na próxima vistoria.
Caminhão da Zilda 2,Abril 2026,-,-,43,1.0,1.0,43,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão da Zilda 2: risco 43 - monitorar na próxima vistoria.
Caminhão da Clotilde 5,Abril 2026,-,-,60,1.0,1.0,60,ALTO,Estilo de condução,[ALERTA] Caminhão da Clotilde 5: risco 60 - agendar inspeção em breve.
Caminhão do Jorge 2,Abril 2026,-,-,41,1.0,1.0,41,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Jorge 2: risco 41 - monitorar na próxima vistoria.
Caminhão da Priscila,Abril 2026,-,-,50,1.0,1.0,50,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão da Priscila: risco 50 - monitorar na próxima vistoria.
Caminhão do Paulo 4,Abril 2026,-,-,27,1.0,1.0,27,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Paulo 4: risco 27 - monitorar na próxima vistoria.
Caminhão da Adriana,Abril 2026,-,-,21,1.0,1.0,21,BAIXO,Desaceleração/frenagem brusca,[OK] Caminhão da Adriana: risco 21 - dentro do esperado.
Caminhão da Úrsula 2,Abril 2026,-,-,50,1.0,1.0,50,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão da Úrsula 2: risco 50 - monitorar na próxima vistoria.
Caminhão do Rafael,Abril 2026,-,-,31,1.0,1.0,31,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Rafael: risco 31 - monitorar na próxima vistoria.
Caminhão do Marcos,Abril 2026,-,-,62,1.0,1.0,62,ALTO,Estilo de condução,[ALERTA] Caminhão do Marcos: risco 62 - agendar inspeção em breve.
Caminhão do Fábio 2,Abril 2026,-,-,39,1.0,1.0,39,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Fábio 2: risco 39 - monitorar na próxima vistoria.
Caminhão do Davi 5,Abril 2026,-,-,36,1.0,1.0,36,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Davi 5: risco 36 - monitorar na próxima vistoria.
Caminhão do Rodrigo 6,Abril 2026,-,-,41,1.0,1.0,41,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Rodrigo 6: risco 41 - monitorar na próxima vistoria.
Caminhão do Renato 6,Abril 2026,-,-,48,1.0,1.0,48,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Renato 6: risco 48 - monitorar na próxima vistoria.
Caminhão da Juliana 3,Abril 2026,-,-,41,1.0,1.0,41,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão da Juliana 3: risco 41 - monitorar na próxima vistoria.
Caminhão da Carla 2,Abril 2026,-,-,33,1.0,1.0,33,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão da Carla 2: risco 33 - monitorar na próxima vistoria.
Caminhão do Caio 5,Abril 2026,-,-,34,1.0,1.0,34,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Caio 5: risco 34 - monitorar na próxima vistoria.
Caminhão da Marta 5,Abril 2026,-,-,61,1.0,1.0,61,ALTO,Estilo de condução,[ALERTA] Caminhão da Marta 5: risco 61 - agendar inspeção em breve.
Caminhão do Marcos 6,Abril 2026,-,-,35,1.0,1.0,35,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Marcos 6: risco 35 - monitorar na próxima vistoria.
Caminhão do Elias 5,Abril 2026,-,-,50,1.0,1.0,50,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Elias 5: risco 50 - monitorar na próxima vistoria.
Caminhão do Tadeu 5,Abril 2026,-,-,59,1.0,1.0,59,ALTO,Estilo de condução,[ALERTA] Caminhão do Tadeu 5: risco 59 - agendar inspeção em breve.
Caminhão do Heitor,Abril 2026,-,-,40,1.0,1.0,40,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Heitor: risco 40 - monitorar na próxima vistoria.
Caminhão do Paulo 5,Abril 2026,-,-,29,1.0,1.0,29,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Paulo 5: risco 29 - monitorar na próxima vistoria.
Caminhão da Patrícia 3,Abril 2026,-,-,31,1.0,1.0,31,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Patrícia 3: risco 31 - monitorar na próxima vistoria.
Caminhão do Vinícius 6,Abril 2026,-,-,34,1.0,1.0,34,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Vinícius 6: risco 34 - monitorar na próxima vistoria.
Caminhão do Henrique 4,Abril 2026,-,-,50,1.0,1.0,50,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Henrique 4: risco 50 - monitorar na próxima vistoria.
Caminhão da Sabrina 3,Abril 2026,-,-,43,1.0,1.0,43,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão da Sabrina 3: risco 43 - monitorar na próxima vistoria.
Caminhão do Mateus 4,Abril 2026,-,-,47,1.0,1.0,47,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Mateus 4: risco 47 - monitorar na próxima vistoria.
Caminhão da Yasmin 4,Abril 2026,-,-,56,1.0,1.0,56,ALTO,Estilo de condução,[ALERTA] Caminhão da Yasmin 4: risco 56 - agendar inspeção em breve.
Caminhão da Mariana 4,Abril 2026,-,-,57,1.0,1.0,57,ALTO,Estilo de condução,[ALERTA] Caminhão da Mariana 4: risco 57 - agendar inspeção em breve.
Caminhão do Orlando 4,Abril 2026,-,-,46,1.0,1.0,46,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Orlando 4: risco 46 - monitorar na próxima vistoria.
Caminhão do Alexandre 4,Abril 2026,-,-,27,1.0,1.0,27,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Alexandre 4: risco 27 - monitorar na próxima vistoria.
Caminhão do Eduardo 5,Abril 2026,-,-,37,1.0,1.0,37,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Eduardo 5: risco 37 - monitorar na próxima vistoria.
Caminhão do Lucas 3,Abril 2026,-,-,50,1.0,1.0,50,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Lucas 3: risco 50 - monitorar na próxima vistoria.
Caminhão da Bianca 3,Abril 2026,-,-,35,1.0,1.0,35,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão da Bianca 3: risco 35 - monitorar na próxima vistoria.
Caminhão do Roberto 5,Abril 2026,-,-,25,1.0,1.0,25,BAIXO,Desaceleração/frenagem brusca,[OK] Caminhão do Roberto 5: risco 25 - dentro do esperado.
Caminhão da Clotilde,Abril 2026,-,-,44,1.0,1.0,44,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão da Clotilde: risco 44 - monitorar na próxima vistoria.
Caminhão do Luiz 5,Abril 2026,-,-,32,1.0,1.0,32,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Luiz 5: risco 32 - monitorar na próxima vistoria.
Caminhão da Nádia,Abril 2026,-,-,40,1.0,1.0,40,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Nádia: risco 40 - monitorar na próxima vistoria.
Caminhão da Helena 4,Abril 2026,-,-,29,1.0,1.0,29,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão da Helena 4: risco 29 - monitorar na próxima vistoria.
Caminhão do Henrique 3,Abril 2026,-,-,45,1.0,1.0,45,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Henrique 3: risco 45 - monitorar na próxima vistoria.
Caminhão do Rafael 4,Abril 2026,-,-,36,1.0,1.0,36,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Rafael 4: risco 36 - monitorar na próxima vistoria.
Caminhão do Francisco,Abril 2026,-,-,22,1.0,1.0,22,BAIXO,Dificuldade da rota,[OK] Caminhão do Francisco: risco 22 - dentro do esperado.
Caminhão do Yuri 5,Abril 2026,-,-,39,1.0,1.0,39,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Yuri 5: risco 39 - monitorar na próxima vistoria.
Caminhão do Roberto 2,Abril 2026,-,-,29,1.0,1.0,29,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Roberto 2: risco 29 - monitorar na próxima vistoria.
Caminhão do Samuel 4,Abril 2026,-,-,53,1.0,1.0,53,ALTO,Estilo de condução,[ALERTA] Caminhão do Samuel 4: risco 53 - agendar inspeção em breve.
Caminhão do Carlos 3,Abril 2026,-,-,57,1.0,1.0,57,ALTO,Estilo de condução,[ALERTA] Caminhão do Carlos 3: risco 57 - agendar inspeção em breve.
Caminhão do Pedro 2,Abril 2026,-,-,37,1.0,1.0,37,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Pedro 2: risco 37 - monitorar na próxima vistoria.
Caminhão da Eliana,Abril 2026,-,-,45,1.0,1.0,45,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Eliana: risco 45 - monitorar na próxima vistoria.
Caminhão do Sérgio 4,Abril 2026,-,-,43,1.0,1.0,43,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Sérgio 4: risco 43 - monitorar na próxima vistoria.
Caminhão da Wilma 5,Abril 2026,-,-,41,1.0,1.0,41,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Wilma 5: risco 41 - monitorar na próxima vistoria.
Caminhão da Yasmin,Abril 2026,-,-,42,1.0,1.0,42,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão da Yasmin: risco 42 - monitorar na próxima vistoria.
Caminhão do Valter 2,Abril 2026,-,-,39,1.0,1.0,39,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Valter 2: risco 39 - monitorar na próxima vistoria.
Caminhão da Olívia 2,Abril 2026,-,-,46,1.0,1.0,46,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Olívia 2: risco 46 - monitorar na próxima vistoria.
